Статистика проездов: (2020-06-01 00:00 - 2020-06-07 23:59)  - Камера 41;;;;;;;
;;;;;;;
№п/п;Дата;Камера;Час;Минуты;Сумма;;
1;01.06.2020;441;0;0;17;;
2;01.06.2020;441;0;30;7;;24
3;01.06.2020;441;1;0;9;;
4;01.06.2020;441;1;30;10;;19
5;01.06.2020;441;2;0;6;;
6;01.06.2020;441;2;30;3;;9
7;01.06.2020;441;3;0;8;;
8;01.06.2020;441;3;30;6;;14
9;01.06.2020;441;4;0;4;;
10;01.06.2020;441;4;30;7;;11
11;01.06.2020;441;5;0;10;;
12;01.06.2020;441;5;30;19;;29
13;01.06.2020;441;6;0;35;;
14;01.06.2020;441;6;30;86;;121
15;01.06.2020;441;7;0;125;;
16;01.06.2020;441;7;30;193;;318
17;01.06.2020;441;8;0;157;;
18;01.06.2020;441;8;30;203;;360
19;01.06.2020;441;9;0;183;;
20;01.06.2020;441;9;30;57;;240
21;01.06.2020;441;10;0;91;;
22;01.06.2020;441;10;30;184;;275
23;01.06.2020;441;11;0;144;;
24;01.06.2020;441;11;30;190;;334
25;01.06.2020;441;12;0;200;;
26;01.06.2020;441;12;30;221;;421
27;01.06.2020;441;13;0;203;;
28;01.06.2020;441;13;30;207;;410
29;01.06.2020;441;14;0;191;;
30;01.06.2020;441;14;30;192;;383
31;01.06.2020;441;15;0;141;;
32;01.06.2020;441;15;30;68;;209
33;01.06.2020;441;16;0;190;;
34;01.06.2020;441;16;30;217;;407
35;01.06.2020;441;17;0;201;;
36;01.06.2020;441;17;30;176;;377
37;01.06.2020;441;18;0;195;;
38;01.06.2020;441;18;30;164;;359
39;01.06.2020;441;19;0;150;;
40;01.06.2020;441;19;30;137;;287
41;01.06.2020;441;20;0;127;;
42;01.06.2020;441;20;30;87;;214
43;01.06.2020;441;21;0;72;;
44;01.06.2020;441;21;30;59;;131
45;01.06.2020;441;22;0;53;;
46;01.06.2020;441;22;30;28;;81
47;01.06.2020;441;23;0;24;;
48;01.06.2020;441;23;30;19;;43
49;02.06.2020;441;0;0;16;;
50;02.06.2020;441;0;30;10;;26
51;02.06.2020;441;1;0;6;;
52;02.06.2020;441;1;30;3;;9
53;02.06.2020;441;2;0;1;;
54;02.06.2020;441;2;30;1;;2
55;02.06.2020;441;3;0;6;;
56;02.06.2020;441;3;30;5;;11
57;02.06.2020;441;4;0;4;;
58;02.06.2020;441;4;30;3;;7
59;02.06.2020;441;5;0;9;;
60;02.06.2020;441;5;30;16;;25
61;02.06.2020;441;6;0;34;;
62;02.06.2020;441;6;30;94;;128
63;02.06.2020;441;7;0;128;;
64;02.06.2020;441;7;30;197;;325
65;02.06.2020;441;8;0;167;;
66;02.06.2020;441;8;30;210;;377
67;02.06.2020;441;9;0;191;;
68;02.06.2020;441;9;30;171;;362
69;02.06.2020;441;10;0;207;;
70;02.06.2020;441;10;30;186;;393
71;02.06.2020;441;11;0;207;;
72;02.06.2020;441;11;30;189;;396
73;02.06.2020;441;12;0;184;;
74;02.06.2020;441;12;30;204;;388
75;02.06.2020;441;13;0;180;;
76;02.06.2020;441;13;30;206;;386
77;02.06.2020;441;14;0;203;;
78;02.06.2020;441;14;30;192;;395
79;02.06.2020;441;15;0;210;;
80;02.06.2020;441;15;30;151;;361
81;02.06.2020;441;16;0;198;;
82;02.06.2020;441;16;30;201;;399
83;02.06.2020;441;17;0;160;;
84;02.06.2020;441;17;30;158;;318
85;02.06.2020;441;18;0;171;;
86;02.06.2020;441;18;30;134;;305
87;02.06.2020;441;19;0;162;;
88;02.06.2020;441;19;30;126;;288
89;02.06.2020;441;20;0;116;;
