Статистика проездов: (2020-06-01 00:00 - 2020-06-07 23:59)  - Камера 21;;;;;;;
;;;;;;;
№п/п;Дата;Камера;Час;Минуты;Сумма;;
1;01.06.2020;421;11;0;9;;9
2;01.06.2020;421;15;0;126;;
3;01.06.2020;421;15;30;82;;208
4;01.06.2020;421;16;0;225;;
5;01.06.2020;421;16;30;196;;421
6;01.06.2020;421;17;0;285;;
7;01.06.2020;421;17;30;211;;496
8;01.06.2020;421;18;0;264;;
9;01.06.2020;421;18;30;188;;452
10;01.06.2020;421;19;0;175;;
11;01.06.2020;421;19;30;133;;308
12;01.06.2020;421;20;0;147;;
13;01.06.2020;421;20;30;72;;219
14;01.06.2020;421;21;0;21;;
15;01.06.2020;421;21;30;6;;27
16;01.06.2020;421;22;0;2;;
17;01.06.2020;421;22;30;1;;3
18;01.06.2020;421;23;0;1;;1
19;02.06.2020;421;9;0;1;;1
20;02.06.2020;421;11;30;188;;188
21;02.06.2020;421;12;0;229;;
22;02.06.2020;421;12;30;216;;445
23;02.06.2020;421;13;0;201;;
24;02.06.2020;421;13;30;214;;415
25;02.06.2020;421;14;0;204;;
26;02.06.2020;421;14;30;194;;398
27;02.06.2020;421;15;0;204;;
28;02.06.2020;421;15;30;185;;389
29;02.06.2020;421;16;0;182;;182
30;02.06.2020;421;17;30;1;;1
31;02.06.2020;421;18;30;176;;176
32;02.06.2020;421;19;0;163;;
33;02.06.2020;421;19;30;115;;278
34;02.06.2020;421;20;0;115;;
35;02.06.2020;421;20;30;85;;200
36;02.06.2020;421;21;0;18;;
37;02.06.2020;421;21;30;3;;21
38;02.06.2020;421;22;0;8;;
39;02.06.2020;421;22;30;3;;11
40;02.06.2020;421;23;30;2;;2
41;03.06.2020;421;0;0;1;;1
42;03.06.2020;421;4;0;3;;
43;03.06.2020;421;4;30;4;;7
44;03.06.2020;421;5;0;12;;
45;03.06.2020;421;5;30;12;;24
46;03.06.2020;421;6;0;27;;
47;03.06.2020;421;6;30;62;;89
48;03.06.2020;421;7;0;99;;99
49;03.06.2020;421;20;0;11;;
50;03.06.2020;421;20;30;2;;13
51;04.06.2020;421;11;0;1;;1
52;04.06.2020;421;13;0;134;;
53;04.06.2020;421;13;30;166;;300
54;04.06.2020;421;14;0;194;;
55;04.06.2020;421;14;30;48;;242
56;04.06.2020;421;15;0;186;;
57;04.06.2020;421;15;30;195;;381
58;04.06.2020;421;17;30;34;;34
59;04.06.2020;421;18;0;242;;
60;04.06.2020;421;18;30;210;;452
61;04.06.2020;421;19;0;150;;
62;04.06.2020;421;19;30;148;;298
63;04.06.2020;421;20;0;154;;
64;04.06.2020;421;20;30;124;;278
65;04.06.2020;421;21;0;32;;32
66;05.06.2020;421;8;30;145;;145
67;05.06.2020;421;9;0;202;;
68;05.06.2020;421;9;30;199;;401
69;05.06.2020;421;10;0;161;;
70;05.06.2020;421;10;30;102;;263
71;05.06.2020;421;11;0;206;;
72;05.06.2020;421;11;30;35;;241
73;05.06.2020;421;12;0;142;;
74;05.06.2020;421;12;30;204;;346
75;05.06.2020;421;13;0;207;;
76;05.06.2020;421;13;30;210;;417
77;05.06.2020;421;14;0;220;;
78;05.06.2020;421;14;30;248;;468
79;05.06.2020;421;15;0;209;;
80;05.06.2020;421;15;30;214;;423
81;05.06.2020;421;16;0;217;;
82;05.06.2020;421;16;30;222;;439
83;05.06.2020;421;17;0;256;;
84;05.06.2020;421;17;30;232;;488
85;05.06.2020;421;18;0;219;;219
86;05.06.2020;421;21;0;30;;
87;05.06.2020;421;21;30;11;;41
88;05.06.2020;421;22;0;4;;4
89;06.06.2020;421;10;30;160;;160
90;06.06.2020;421;11;0;196;;
91;06.06.2020;421;11;30;193;;389
92;06.06.2020;421;12;0;176;;
93;06.06.2020;421;12;30;189;;365
94;06.06.2020;421;13;0;229;;
95;06.06.2020;421;13;30;191;;420
96;06.06.2020;421;14;0;202;;
97;06.06.2020;421;14;30;200;;402
98;06.06.2020;421;15;0;197;;
99;06.06.2020;421;15;30;169;;366
100;06.06.2020;421;16;0;180;;
101;06.06.2020;421;16;30;173;;353
102;06.06.2020;421;17;0;197;;
103;06.06.2020;421;17;30;155;;352
104;06.06.2020;421;18;0;154;;
105;06.06.2020;421;18;30;120;;274
106;06.06.2020;421;19;0;160;;
107;06.06.2020;421;19;30;154;;314
108;06.06.2020;421;20;0;122;;
109;06.06.2020;421;20;30;133;;255
110;06.06.2020;421;21;0;15;;15
